Months,CHN,SEA,EAS,USA,EUR,Total
160,-900,800,5700,-13900,2900,-5400
161,200,-500,-4500,6100,1950,3250
162,-1700,4600,2900,-13000,0,-7200
163,-2800,6800,-1600,1400,-2400,1400
164,7300,-2800,2000,-800,0,5700
165,-2900,-8800,1100,13000,0,2400
166,-2600,3800,2100,-800,-2150,350
167,12300,100,5800,-4000,-950,13250
168,-5800,200,-800,12300,1700,7600
169,-7300,-3500,2900,-2900,1950,-8850
170,13100,11200,-2700,8000,-950,28650
171,-2900,7200,5600,-11800,0,-1900
172,-2900,21200,-2200,300,1950,18350
173,11300,-3600,0,-2800,-2150,2750
174,-900,-2800,-2300,9700,1700,5400
175,1000,6400,4700,-3800,0,8300
176,0,12200,-1800,-3000,0,7400
177,-3000,-5500,800,15200,-950,6550
178,-2900,-5400,100,2000,-950,-7150
179,-2700,6800,-2600,-1900,2900,2500
180,5500,-3500,-3200,-1500,1950,-750
181,-800,1600,6400,-3400,-1200,2600
182,1100,-12000,2100,11200,-1200,1200
183,-5800,7300,-7200,-1600,0,-7300
184,-800,-3600,4700,7400,-1200,6500
185,12000,7200,9300,-8000,-950,19550
186,-5800,6600,-8000,14000,0,6800
187,11300,-6100,11300,-4900,1950,13550
188,-2900,4600,200,1100,1950,4950
189,0,3600,5700,-15600,-1200,-7500
190,-2700,-700,1000,11000,0,8600
191,0,7400,-14700,12200,-950,3950
192,0,-7800,-600,-2000,0,-10400
193,-2800,-9200,14100,12100,1950,16150
194,8200,4500,200,-9000,-950,2950
195,-2700,-1800,6700,-3900,2900,1200
196,-6600,-700,200,400,-1200,-7900
197,12100,-1400,6600,1000,0,18300
198,0,9500,-12700,-2000,0,-5200
199,-2900,-3500,-900,14000,0,6700
200,0,1700,3000,0,0,4700
201,-900,6600,14000,-13600,-1200,4900
202,-5600,-3500,1000,15200,-1200,5900
203,9000,7500,-2600,-8800,-2150,2950
204,-3500,6600,2000,-2800,0,2300
205,-4400,-2700,1000,-4700,750,-10050
206,11200,-11300,3900,12200,-3100,12900
207,-5700,9500,-8900,6300,2900,4100
208,11200,-6300,2000,-3700,-200,3000
209,200,7200,7400,2000,0,16800
210,-800,-12000,2900,-900,1950,-8850
211,-4600,-2500,0,10200,-950,2150
212,-6500,18800,-2600,-12900,2900,-300
213,6200,3800,-6100,9100,1950,14950
214,-4400,-5300,-700,12200,-1200,600
215,13000,-2100,6700,-12800,0,4800
216,-5800,-3600,14000,14000,-950,17650
217,11200,1700,3900,-12000,0,4800
218,-2800,3700,200,1100,1950,4150
219,-3600,-6400,4800,-1000,-950,-7150
220,12000,10200,-1800,-1900,2900,21400
221,-2800,-6300,1000,12000,0,3900
222,-3800,-2500,-3600,2000,0,-7900
223,1000,12900,3900,0,0,17800
224,200,3400,-9100,-800,0,-6300
225,-2900,-2800,2800,11400,-1200,7300
226,5900,-800,900,-3000,0,3000
227,-4700,200,9300,16400,-2400,18800
228,10100,-5500,-900,12200,-1200,14700
229,-2600,8500,1800,-4600,-950,2150
230,-3800,1700,4800,4200,-1200,5700
231,8500,-3500,1900,-7900,1000,0
232,1100,7400,-3000,1200,-950,5750
233,-2900,3800,1100,-12700,1950,-8750
234,-3000,-5200,-700,9100,2900,3100
235,7600,3700,900,-14700,1950,-550
236,-1700,-6200,2900,9200,0,4200
237,-3000,4400,2900,-11000,0,-6700
238,-3400,3800,1800,200,0,2400
239,9200,-5100,-2600,-1800,0,-300
240,0,-8800,300,10000,0,1500
241,100,900,3000,-800,-1200,2000
242,-3900,3700,5500,-600,0,4700
243,6400,6500,800,3200,-950,15950
244,-1800,900,1800,-10600,-1200,-10900
245,-1700,-5500,0,10100,1950,4850
246,8100,3800,1100,-9000,-950,3050
247,-1800,3900,2100,-3900,2900,3200
248,-3000,-5500,-100,3200,0,-5400
249,8400,3600,4800,-1000,0,15800
250,-9400,9600,-1900,-7600,-1200,-10500
251,3400,3600,-3300,12000,0,15700
252,-1600,100,-900,-800,-1200,-4400
253,7200,-700,100,12000,-950,17650
254,7400,-2400,7300,13200,-950,24550
255,-2700,6500,2700,-2700,2900,6700
256,-1600,3900,-9900,5100,1950,-550
257,8600,-2700,100,-3000,0,3000
258,-2700,-9100,3800,11000,0,3000
259,-5600,4600,13100,2400,-2400,12100
260,-800,6700,-10700,-3800,0,-8600
261,12000,-11800,3700,12200,0,16100
262,-3000,1800,12900,-10800,-950,-50
263,-9200,9200,-6400,10400,-2150,1850
264,9300,1000,-10000,300,1950,2550
265,-700,-5600,12800,6300,2900,15700
266,12000,1100,-9700,0,-950,2450
267,-6700,-3300,2100,10400,-2150,350
268,1000,1800,16600,-6500,2900,15800
269,7300,-3200,-700,-2700,1950,2650
270,-1900,-6300,14000,9200,0,15000
271,-2800,13800,4000,-12000,0,3000
272,-3600,3400,2600,4400,-1200,5600
273,9000,-700,-12000,12200,0,8500
274,200,10200,-2700,-4800,0,2900
275,200,3700,2700,-2600,-950,3050
276,-9500,-2700,6700,12600,-3350,3750
277,12200,700,4000,-4900,2900,14900
278,-2800,100,-2000,10500,750,6550
279,-3900,9200,1000,1200,-950,6550
280,12200,-5400,13700,-4600,-2150,13750
281,-3000,-2700,-1100,13500,1700,8400
282,-2900,1200,300,-12900,1950,-12350
283,100,-6300,-1000,12200,-950,4050
284,-3700,-11300,7600,-2700,750,-9350
285,-6300,-700,2000,10000,0,5000
286,9200,22000,0,-11900,1950,21250
287,9200,-800,0,11000,-950,18450
288,-1800,200,-2700,9000,-950,3750
289,-600,6800,-1900,-4700,2900,2500
290,-3000,-2800,2000,6300,1950,4450
291,-800,-6300,4800,-3800,0,-6100
292,11200,-9400,3800,12000,0,17600
293,-2000,22600,-6300,-8800,-1200,4300
294,0,4100,-2500,2200,-1200,2600
295,-3000,-5300,2100,-800,0,-7000
296,4500,-6200,2100,12400,-2400,10400
297,1000,1900,1200,-10800,-2150,-8850
298,100,-11800,4800,12000,-950,4150
299,-5800,-600,-2000,-2700,1950,-9150
300,7600,14000,2100,-1900,1950,23750
301,-2000,9300,-3900,-7800,-950,-5350
302,-3600,800,4000,-3700,2900,400
303,8500,-5500,1500,7500,1950,13950
304,-1800,600,2700,-8800,0,-7300
305,100,-6300,1700,6400,0,1900
306,-6400,4500,1000,-7000,0,-7900
307,5400,3600,3900,1000,0,13900
308,6300,-3400,1100,1200,-1200,4000
309,100,1600,4700,0,0,6400
310,-3700,3700,1000,6200,-2150,5050
311,9100,-3500,100,0,0,5700
312,0,7200,2900,-4700,1950,7350
313,0,-6500,1900,2000,0,-2600
314,0,-500,-4500,6100,1950,3050
315,-2800,1700,3800,-11000,0,-8300
316,-2800,6200,2900,13000,0,19300
317,-800,6800,-1700,-11000,0,-6700
318,9100,9400,-13600,13000,0,17900
319,-5700,-5200,1100,14000,0,4200
320,11200,-5500,14000,-3000,0,16700
321,-3000,3900,1200,2200,0,4300
322,0,-8500,2000,2000,0,-4500
323,0,-6200,1100,10000,0,4900
324,-3900,-9000,3000,3000,0,-6900
325,-5600,19500,-700,2000,0,15200
326,10200,3800,1800,-13400,-1200,1200
327,-1800,-6300,0,13400,-2400,2900
328,-4800,-5400,900,1200,-950,-9050
329,11200,900,600,1400,0,14100
330,-2800,15600,-6200,10200,-950,15850
331,0,-5400,1100,-4900,1950,-7250
332,-3600,3800,-8200,6500,1950,450
333,9300,-6200,8900,1200,-950,12250
334,100,1800,-100,-2700,1950,1050
335,-9200,6600,-1100,-9700,2900,-10500
336,12000,-9300,14700,9400,0,26800
337,0,-8100,900,200,0,-7000
338,-5800,21400,-8900,9200,0,15900
339,-6600,6400,2900,4200,-1200,5700
340,9300,-5400,11700,-3600,0,12000
341,8400,3700,-13300,16600,-1200,14200
342,-5800,-6100,1200,1000,0,-9700
343,11200,7400,11300,-1800,0,28100
344,-2900,-9100,5700,12200,-950,4950
345,-5800,-6300,3900,1400,-3350,-10150
346,-1600,16400,2000,-3900,2900,15800
347,13000,-2100,4800,-10700,750,5750
348,0,-14800,3700,12200,-950,150
349,0,7400,-2600,-10800,-2150,-8150
350,0,-2100,7600,-1700,2900,6700
351,-3800,-6100,1100,-5700,1000,-13500
352,1000,7500,-11900,10200,-950,5850
353,-6600,3600,2700,-12700,2900,-10100
354,-5600,-3400,12200,9100,1950,14250
355,9300,4700,1800,-10800,0,5000
356,-1700,-8900,-2500,12000,0,-1100
357,9600,-3600,-1600,-1200,-1200,2000
358,300,19200,200,-4600,-1200,13900
359,-1700,-9000,2900,-400,-2400,-10600
360,-5800,3700,-6100,12000,0,3800
361,7500,9200,-100,9200,-950,24850
362,-5600,6500,3900,-10800,-950,-6950
363,3400,3700,17800,100,1950,26950
364,11200,-2600,200,-6700,1950,4050
365,-2900,-3500,2800,10200,-950,5650
366,0,18600,-11700,4300,-7300,3900
367,-2800,-2600,3900,3500,750,2750
368,-3700,-3500,11100,12000,0,15900
369,9000,200,-2900,-1400,10800,15700
370,0,13000,3700,-1400,-1200,14100
371,-4600,-8300,2900,2200,-1200,-9000
372,10300,-9400,4800,12200,-2150,15750
373,-2600,-500,-2700,-2800,-2150,-10750
374,-3800,16700,200,1100,1950,16150
375,9300,6500,-3700,-12900,1950,1150
376,0,-6300,4800,8400,-3100,3800
377,-5700,-5600,4800,10100,2900,6500
378,-3500,-3500,900,-6700,1950,-10850
379,12100,19300,-100,-5500,1950,27750
380,-6600,-2700,2900,2200,-2150,-6350
381,6200,9500,-1700,-700,1700,15000
382,-2800,-2500,200,-1000,-950,-7050
383,-1600,-2500,-3500,9000,0,1400
384,10000,-3400,200,-5700,1950,3050
385,-2800,4600,6700,-4800,0,3700
386,0,-11200,0,700,-450,-10950
387,-3000,900,4800,2200,-1200,3700
388,11200,3600,-6400,8400,-950,15850
389,-2900,-2500,-800,1000,-950,-6150
390,-3900,6400,100,2300,1700,6600
391,1000,-3500,11100,-6900,1000,2700
392,-3600,3600,1700,6200,-950,6950
393,8300,7400,1100,-14900,2900,4800
394,-1700,-3600,2900,5300,750,3650
395,-3800,-5400,-100,3600,-2400,-8100
396,11100,8700,-6300,14000,-950,26550
397,1000,1700,-3300,-6800,0,-7400
398,-2900,-5500,100,11100,1000,3800
399,-6700,6500,14700,-10600,-950,2950
400,200,-6100,-700,6100,2900,2400
401,8400,900,4800,-13900,1950,2150
402,1100,4600,-1900,-1600,-2150,50
403,-2700,-8500,3600,8700,-8500,-7400
404,-5800,3800,-7000,13000,0,4000
405,8500,9300,-1800,1000,11050,28050
406,-4700,-700,14600,-4400,0,4800
407,13100,4700,-10700,9000,-950,15150
408,-900,-8200,1200,-5900,2900,-10900
409,-4800,6400,17600,-2300,-450,16450
410,200,-2900,-900,10200,-10200,-3600
411,0,-3400,-1700,11000,0,5900
412,-3700,-5500,2000,1000,-950,-7150
413,9000,18500,1900,100,13950,43450
414,-3600,6700,200,-12000,-950,-9650
415,-2800,-2700,2000,6300,2900,5700
416,9100,-2800,100,12000,0,18400
417,0,-3600,2800,-2000,0,-2800
418,-600,10100,-1900,-1000,0,6600
419,100,-2900,-1800,0,0,-4600
420,-2000,-5300,-2000,14200,0,4900
421,-2800,-500,200,-3600,-1200,-7900
422,-6500,4700,1100,3000,0,2300
423,12000,-5400,200,-1000,0,5800
424,-7300,-3600,4800,11200,-1200,3900
425,9300,-2700,-100,-1800,0,4700
426,-4700,18500,3800,-1800,0,15800
427,10600,-2600,-1900,6400,-11150,1350
428,-7500,200,-700,11000,-950,2050
429,8200,900,4800,300,13700,27900
430,-900,-11000,2800,-4700,1950,-11850
431,-2800,5800,-11700,13000,0,4300
432,9100,2000,-7900,-800,0,2400
433,0,-8000,11400,8000,0,11400
434,-1700,3800,-100,-9800,0,-7800
435,-1000,-11800,5800,10000,0,3000
436,-6400,10100,11900,-11800,0,3800
437,9300,6700,-1900,2400,-1200,15300
438,-6600,800,-2400,13000,0,4800
439,12200,-8300,-100,-2800,-950,50
440,0,700,6800,11200,0,18700
441,-900,-6400,-2000,300,1950,-7050
442,1000,7500,13100,-2800,-950,17850
443,-4800,1000,2100,-12700,1700,-12700
444,-1000,-6300,-100,13200,0,5800
445,-1500,4500,3800,-15800,0,-9000
446,7200,-6200,3000,14000,0,18000
447,0,15800,-9100,10200,0,16900
448,-3800,-2500,-2600,2000,0,-6900
449,9000,900,16800,4000,0,30700
450,-700,-3400,-1700,-3000,0,-8800
451,1000,4500,2900,-800,-1200,6400
452,-3900,4100,-11600,2000,0,-9400
453,-2800,-3300,-3600,14200,-1200,3300
454,-700,4500,14000,-13800,-950,3050
455,8200,-2000,6700,2000,-950,13950
456,2100,-9000,2000,6300,1700,3100
457,0,4200,-200,-10500,750,-5750
458,-3000,-3200,1200,6400,-950,450
459,-2700,-6400,3800,-1800,-1200,-8300
460,-3700,19300,1000,-700,750,16650
461,12100,6300,-14200,3400,-950,6650
462,-2900,3600,-8000,10100,1950,4750
463,100,-5300,13000,-3900,1950,5850
464,-2800,3400,2000,4000,-950,5650
465,8200,6500,-800,-12700,1700,2900
466,0,-6200,16800,9600,-2400,17800
467,0,7200,-3600,-7800,-1200,-5400
468,0,-9000,3900,10000,-950,3950
469,-3000,-6300,-100,12300,1950,4850
470,-700,16700,2000,-14800,-1900,1300
471,1300,6400,-3800,-4700,1700,900
472,0,-12200,5700,-700,750,-6450
473,-2900,4600,-1100,4200,-950,3850
474,11200,4100,-12800,-5700,1950,-1250
475,0,-9000,900,11200,-950,2150
476,-2900,1700,15900,-13900,2900,3700
477,-3700,-3500,800,6300,1950,1850
478,-6300,7300,500,3400,0,4900
479,12100,3700,200,-13000,0,3000
480,-1900,-9000,3600,8400,0,1100
481,0,-2700,-2900,200,0,-5400
482,-3800,900,5800,1200,0,4100
483,12100,5500,100,-1000,0,16700
484,-2700,4600,2700,-1600,0,3000
485,-2900,9600,-1700,-10800,0,-5800
486,-3000,6500,-10700,9200,0,2000
487,11200,-11200,9200,-2600,0,6600
488,-2900,3700,10900,4200,0,15900
489,-900,-6300,-800,2000,0,-6000
490,-5500,7300,3900,-3000,0,2700
491,12400,700,0,-7800,-1200,4100
492,-3700,-8700,-1600,12000,0,-2000
493,-1800,-2700,1100,9000,-950,4650
494,0,3000,3000,-1000,0,5000
495,-3900,-6300,1100,10100,1950,2950
496,12200,-1200,7600,-12000,-950,5650
497,0,5400,1900,9100,2900,19300
498,0,-600,-1800,9200,-10200,-3400
499,-5800,22200,-1700,4000,0,18700
500,0,9400,100,-13800,12000,7700
501,-8600,-400,1200,10400,-1200,1400
502,-700,4500,-100,-13800,0,-10100
503,9200,-5500,2700,13200,0,19600
504,8400,6500,2000,-1000,0,15900
505,-3800,-5400,1000,0,0,-8200
506,1100,9400,-4600,0,0,5900
507,-3700,-2600,2100,-4800,0,-9000
508,6600,-9000,-200,13400,0,10800
509,-2800,-2800,3600,-4600,0,-6600
510,11200,12800,4800,0,0,28800
511,-2900,-5400,-1100,2400,-1200,-8200
512,0,6500,4800,-5600,0,5700
513,100,3800,-4700,-7800,-950,-9550
514,-3000,-5600,4800,9200,-950,4450
515,0,3600,2900,-13900,2900,-4500
516,0,-9300,2900,15000,-950,7650
517,100,200,-1800,5100,2900,6500
518,100,9300,-4000,-11800,0,-6400
519,200,3700,-2700,15000,0,16200
520,-3600,-9300,3900,1000,0,-8000
521,9200,-8300,5800,11000,0,17700
522,-5700,-6400,2600,3200,0,-6300
523,-7500,11500,-1700,11200,-1200,12300
524,6600,10300,200,-10800,-1200,5100
525,12000,3900,200,0,0,16100
526,-3800,3800,-100,2200,-950,1150
527,-2300,3800,2000,-3000,0,500
528,5400,-700,-800,-3500,750,1150
529,-2500,4600,-8000,11200,-2150,3150
530,12100,-14000,4900,-2700,1700,2000
531,200,3800,-1700,1000,-950,2350
532,-2800,-6100,15700,-5600,-950,250
533,100,4500,100,-1900,2900,5700
534,-9300,9200,5700,-13700,1950,-6150
535,9000,-5600,-7300,20200,0,16300
536,8500,9200,-900,-12000,0,4800
537,-3400,6500,-13000,12400,0,2500
538,200,-11200,16000,8200,0,13200
539,1000,-3300,-700,-5800,0,-8800
540,-5500,4300,19600,1200,0,19600
541,10300,-700,-2700,-2000,0,4900
542,1200,6600,-8100,15400,-10200,4900
543,-3900,9400,-5000,3400,0,3900
544,-2000,-8000,12300,12200,10800,25300
545,0,-6300,3900,8200,0,5800
546,-3700,4500,2000,-9000,-950,-7150
547,12000,-9100,-7500,20400,0,15800
548,0,1000,-7000,-4900,1950,-8950
549,-2900,3700,2600,16200,-950,18650
550,0,3500,12100,-11900,2900,6600
551,0,-3600,1000,12000,0,9400
552,0,4600,14000,-13000,0,5600
553,0,6600,-800,1200,-1200,5800
554,-3800,-6300,1000,15000,0,5900
555,-2000,6500,100,-9000,0,-4400
556,8300,7400,100,200,0,16000
557,-2700,3700,2900,-10800,-1200,-8100
558,-3500,-8600,3800,15000,0,6700
559,8200,-500,-3700,200,-1200,3000
560,-2400,-3400,-2800,9000,-950,-550
561,-2700,13700,1000,-7800,-2150,2050
562,11100,-5400,2100,4300,2900,15000
563,1000,-6400,2000,-4900,1000,-7300
564,-8600,-3500,6700,11200,-950,4850
565,8300,16600,2000,-13700,1700,14900
566,200,6400,-11000,7100,1950,4650
567,-2800,-5200,-1700,12000,0,2300
568,-2900,6500,-1400,-2200,-10200,-10200
569,5800,0,13900,7200,0,26900
570,-3700,6300,2000,-9600,-1200,-6200
571,8500,-5600,2900,10000,12000,27800
572,-1800,-3500,3900,-5800,-950,-8150
573,-6600,7300,2900,5000,0,8600
574,12000,-2600,-5700,10300,1950,15950
575,100,-2800,1000,-5800,-950,-8450
576,-9200,6400,-7400,9300,2900,2000
577,8200,-5400,800,10600,-10200,4000
578,-6300,-2600,13100,10000,0,14200
579,10000,1000,3000,-9000,12000,17000
580,200,700,-9900,11000,0,2000
581,-3000,-2600,1100,-600,-1200,-6300
582,-4500,6600,-6100,9400,-1200,4200
583,9200,-3400,9300,1200,-1200,15100
584,-4500,7300,1900,-800,0,3900
585,-800,-9100,15900,9000,-950,14050
586,9000,4500,2900,-8000,-950,7450
587,0,-3700,-2700,11100,2900,7600
588,0,-5600,3500,-3700,1950,-3850
589,-6600,21300,100,4200,-1200,17800
590,5400,100,-1200,2200,0,6500
591,200,-5400,1100,9000,-950,3950
592,8100,-5500,-100,2400,-1200,3700
593,-4800,-3500,2000,10300,750,4750
594,-800,-3500,2900,-3800,-950,-6150
595,9000,19600,-2600,100,2900,29000
596,-6500,-5700,-6300,11200,-950,-8250
597,12200,-3600,1700,7400,-950,16750
598,-3000,4500,12800,-10700,2900,6500
599,-3900,3700,800,300,1950,2850
600,-5500,200,-1300,-2600,0,-9200
601,9400,6800,-12800,10200,0,13600
602,-6600,-5300,-9000,11200,0,-9700
603,12100,-9100,14900,11200,-1200,27900
604,-3000,-2600,-1700,1000,0,-6300
605,0,-2000,16000,1200,0,15200
606,0,3600,7600,7200,0,18400
607,-3600,6500,-2000,-6600,-1200,-6900
608,9100,6500,-800,3000,0,17800
609,-2800,-6100,2100,-3000,-950,-10750
610,-10300,7200,6700,3400,-2150,4850
611,13000,-800,0,-5900,2900,9200
612,100,10100,-1900,1000,-950,8350
613,-3000,-2500,-2600,-1900,2900,-7100
614,8400,-5300,3000,11200,-1200,16100
615,-900,9400,-4500,-11000,0,-7000
616,-4600,-2700,2900,8200,-950,2850
617,11200,-6100,3000,-4800,0,3300
618,-3800,-5500,-2000,13200,-950,950
619,-1800,-6600,2900,20500,-8500,6500
620,100,19300,2900,-17700,1950,6550
621,8200,6600,2000,2200,12000,31000
622,0,-5600,3800,-4000,0,-5800
623,100,-3600,-2800,14000,0,7700
624,100,7200,1000,-12800,0,-4500
625,-2800,-5500,2900,11000,0,5600
626,0,800,1100,3200,-1200,3900
627,-900,-2800,100,-1000,0,-4600
628,-2000,6500,1900,3200,-2150,7450
629,100,-800,-1900,-1000,-950,-4550
630,-6500,7300,2900,100,2900,6700
631,9200,0,0,-6700,750,3250
632,-900,0,0,12200,-1200,10100
633,1000,0,0,-1000,0,0
634,100,0,-1000,9000,-950,7150
635,-4700,-5600,-7300,11200,-950,-7350
636,13100,-3600,-2800,12300,1700,20700
637,-5700,7500,1300,9100,1950,14150
638,-7300,-2700,3900,-1000,-950,-8050
639,10000,-3500,12100,12000,0,30600
640,-3000,-5500,2900,300,750,-4550
641,11400,-700,-1900,10000,0,18800
642,-3900,16500,2000,-13700,750,1650
643,1200,-5500,-12500,21600,0,4800
644,-2800,-3600,2900,11000,-950,6550
645,-4600,-3400,13000,200,0,5200
646,13200,3700,-3700,9100,1950,24250
647,-2800,-2500,-700,-2000,-950,-8950
648,-5800,15800,3000,2100,2900,18000
649,8200,-6300,1100,0,0,3000
650,-900,4600,3000,-400,-2400,3900
651,-2000,3800,3000,-10600,-1200,-7000
652,-2900,-2700,1000,8200,-950,2650
653,-800,3700,2000,-11000,0,-6100
654,6200,-800,2900,8300,1950,18550
655,-3000,7500,-800,-8000,-950,-5250
656,5700,-2500,2100,6100,2900,14300
