Months,CHN,SEA,EAS,USA,EUR,Total
118,8600,900,1900,-2600,-1200,7600
119,-2700,100,2800,8200,0,8400
120,7800,12100,0,-2000,-950,16950
121,500,-4500,0,-800,-2150,-6950
122,1200,-4600,0,8300,1700,6600
123,-1900,-3000,0,-2900,1950,-5850
124,11000,-3000,0,-1000,-950,6050
125,-2000,9800,0,-1000,-950,5850
126,-2800,-2100,0,7100,2900,5100
127,-4200,11300,0,-2700,750,5150
128,11000,-2300,-1200,-3800,0,3700
129,-3000,-1900,0,-1000,0,-5900
130,-5300,9200,0,10000,-950,12950
131,4400,300,0,-2700,750,2750
132,-7000,-2800,0,-5000,-950,-15750
133,-2000,7600,-1200,-2300,500,2600
134,11600,-4500,-1200,-800,0,5100
135,-4500,-2800,-900,-1000,-950,-10150
136,6700,300,1000,6200,0,14200
137,-1700,9700,1600,-6300,750,4050
138,11000,-2300,-3000,10200,-950,14950
139,-1900,9700,4700,-11500,1950,2950
140,6900,-1500,0,1200,-2150,4450
141,-5900,13000,0,7500,500,15100
142,8200,-2000,0,-6900,1950,1250
143,-6800,100,0,13400,-2400,4300
144,11000,-2300,0,-2000,-950,5750
145,-5800,-800,-10200,17300,1950,2450
146,4700,-1600,-1200,-2800,-950,-1850
147,-3600,9900,10200,-3900,1950,14550
148,10700,-4400,4700,-10300,750,1450
149,-2800,-3000,0,9200,-2150,1250
150,8200,-4200,-10200,7300,2900,4000
151,-7700,11300,0,-2000,-950,650
152,5300,-600,12000,-2000,-950,13750
153,-6300,-1200,-2400,-3500,2900,-10500
154,9400,9700,-2100,7300,1950,26250
155,-400,-4600,-200,-1400,-1200,-7800
156,7500,-2800,3800,-7600,0,900
157,300,-6900,1900,9200,0,4500
158,6700,9000,0,-1000,-950,13750
159,-1100,-5300,0,12000,-950,4650
160,10100,9700,0,-3900,2900,18800
161,-5300,-500,0,9100,1950,5250
162,11300,-6700,0,0,0,4600
163,-7800,9300,0,400,-2400,-500
164,10200,9700,0,12000,0,31900
165,-7000,400,0,-1000,0,-7600
166,5200,-600,0,1200,-2150,3650
167,-1300,7500,0,-1000,-950,4250
168,9300,-2100,0,-1700,1700,7200
169,-3100,6700,0,-2900,1950,2650
170,11600,-4600,0,-1000,-950,5050
171,-2600,-3100,0,0,0,-5700
172,6200,12000,-1200,-3700,1950,15250
173,-200,-2300,0,11200,-2150,6550
174,10200,12000,-2400,-2300,1700,19200
175,14200,-5400,-1800,0,0,7000
176,-2700,200,4700,-7600,0,-5400
177,9500,12100,-1200,1200,-950,20650
178,-3400,-700,1000,8200,-950,4150
179,7900,-3300,1900,-6700,2900,2700
180,-2000,-5300,-2400,-5500,1950,-13250
181,-2000,-4600,-2100,-600,-1200,-10500
182,8300,-2900,-1800,-1800,-1200,600
183,-4100,12100,5600,6400,0,20000
184,11200,-800,0,-2800,-1200,6400
185,-3500,12200,0,12000,-950,19750
186,10000,-2100,0,-1000,0,6900
187,-7600,300,0,-2900,1950,-8250
188,10800,6700,0,7100,1950,26550
189,-2700,-2200,0,-1800,-1200,-7900
190,11700,-2200,0,0,0,9500
191,-2900,-2800,0,9000,-950,2350
192,7400,9400,0,0,0,16800
193,5900,-1100,0,-2900,1950,3850
194,500,-4500,0,12000,-950,7050
195,-1300,-6100,0,-4900,2900,-9400
196,-4200,13000,0,200,-1200,7800
197,8500,-3100,0,-2000,0,3400
198,-2000,10000,0,0,0,8000
199,6900,100,0,-2000,0,5000
200,13100,-6800,0,11000,0,17300
201,-2000,9100,0,-800,-1200,5100
202,-2500,100,0,-800,-1200,-4400
203,7000,10600,0,-800,-2150,14650
204,-9500,1100,0,0,0,-8400
205,-3700,-4500,0,-5700,750,-13150
206,10100,9800,0,200,-3100,17000
207,-6700,-1400,0,8100,2900,2900
208,8400,-1300,0,-2700,-200,4200
209,-2900,9900,0,-2000,0,5000
210,9700,-4400,0,-2900,1950,4350
211,-2800,-2800,-1200,11200,-950,3450
212,7200,-4200,-1800,-4900,2900,-800
213,-2700,-2900,-5500,-1300,1950,-10450
214,4200,12300,0,1200,-1200,16500
215,1100,-6800,0,-3000,0,-8700
216,11100,-3100,12000,0,-950,19050
217,-2000,7500,0,11000,0,16500
218,9900,-5100,0,-4900,1950,1850
219,-3300,12000,0,-1000,-950,6750
220,-1800,-600,0,-3900,2900,-3400
221,10600,-4500,0,11000,0,17100
222,4300,12300,0,-1000,0,15600
223,-300,-5300,0,12000,0,6400
224,8400,9700,0,-1000,0,17100
225,-300,-5400,0,1200,-1200,-5700
226,7600,12000,0,-1000,0,18600
227,-5100,200,0,1400,-2400,-5900
228,10000,-4500,0,-800,-1200,3500
229,-5200,11300,-1200,1200,-950,5150
230,8700,100,0,200,-1200,7800
231,-4600,9800,0,-4900,1000,1300
232,5900,-2100,-1200,1200,-950,2850
233,-5900,200,-900,-3900,1950,-8550
234,7400,-2700,1000,-5700,2900,2900
235,200,-6800,1600,6500,1950,3450
236,10600,6800,0,-1000,0,16400
237,-1700,-2300,0,-1000,0,-5000
238,4400,-1500,-1200,12200,0,13900
239,-4300,6500,-900,-1000,0,300
240,6600,-2700,3800,-6600,0,1100
241,11500,5200,0,200,-1200,15700
242,-5900,-700,-1200,-2800,0,-10600
243,13300,-4500,-1200,200,-950,6850
244,-4500,9000,-3000,12400,-1200,12700
245,13000,-6800,4700,-10500,1950,2350
246,-1300,6800,0,0,-950,4550
247,4500,300,0,-4900,2900,2800
248,-1100,6700,-1200,12200,0,16600
249,1400,-3100,-1800,11000,0,7500
250,-3600,12400,3500,-7200,-1200,3900
251,8700,0,0,-3000,0,5700
252,-5900,12100,0,200,-1200,5200
253,10800,-4500,0,-1000,-950,4350
254,-5400,12400,-1200,11200,-950,16050
255,5300,-700,-2100,-2700,2900,2700
256,-7000,-2000,1000,-8700,1950,-14750
257,6000,12100,-7400,7400,0,18100
258,9000,-4500,0,-3000,0,1500
259,-3100,-4400,12000,-600,-2400,1500
260,-2800,-3700,0,-1000,0,-7500
261,10700,-3500,-1200,12200,0,18200
262,-3600,9100,-200,-3600,-950,750
263,11000,-4600,700,-6400,-2150,-1450
264,-7700,10700,-2100,-2700,1950,150
265,11600,-3700,-200,5500,2900,16100
266,-3700,10000,1000,-3800,-950,2550
267,6700,-2800,-5500,15800,-2150,12050
268,-2700,-3800,-1200,-2700,2900,-7500
269,1800,13300,0,-3900,1950,13150
270,-2800,-2200,12000,12000,0,19000
271,7000,200,0,-1000,0,6200
272,-4200,9700,-1200,400,-1200,3500
273,11900,-3100,-900,12000,0,19900
274,-5400,300,1000,-3800,0,-7900
275,7500,-2200,1600,-1600,-950,4350
276,-6600,12100,0,400,-3350,2550
277,12400,-4500,0,-4900,2900,5900
278,700,-3900,-1200,-1500,750,-5150
279,10000,-1400,-900,12000,-950,18750
280,-3400,200,-200,-3400,-2150,-8950
281,10900,9000,1600,-4300,1700,18900
282,-6900,400,-1800,-4900,1950,-11250
283,8400,-2200,3500,5800,-11150,4350
284,9300,9800,0,-3700,750,16150
285,-2800,-2200,0,0,12000,7000
286,9600,-800,0,7100,1950,17850
287,300,-4600,0,0,-950,-5250
288,6000,11400,0,-2000,-950,14450
289,-6300,-1900,-1200,9300,2900,2800
290,11700,7400,-1800,-3900,1950,15350
291,-300,-4500,4700,-5600,0,-5700
292,6900,-800,0,-3000,0,3100
293,-6400,-1700,0,1200,-1200,-8100
294,7500,-2700,0,11200,-1200,14800
295,-6800,11500,0,0,0,4700
296,6700,-1200,0,-600,-2400,2500
297,-5300,-2000,0,13200,-2150,3750
298,6900,12200,0,0,-950,18150
299,6900,-600,-1200,-2700,1950,4350
300,-7800,-500,0,-2900,1950,-9250
301,7700,10700,-1200,200,-950,16450
302,-1300,-4400,-900,-4900,2900,-8600
303,6800,-3100,-1400,-4300,1950,-50
304,300,-6800,1600,-2600,0,-7500
305,10800,-5300,-3000,10200,0,12700
306,200,4300,2900,-5600,0,1800
307,9300,-2200,4700,4400,0,16200
308,-2700,11400,0,200,-1200,7700
309,13100,-6900,0,-2000,0,4200
310,-1100,-2200,0,13200,-2150,7750
311,10100,9000,0,-1000,0,18100
312,-1600,-800,0,-5900,1950,-6350
313,10200,12100,0,0,0,22300
314,7800,-600,0,8100,1950,17250
315,-2900,10700,0,-3000,0,4800
316,-4900,0,0,-2000,0,-6900
317,-2000,-2800,0,-1000,0,-5800
318,7500,9900,0,12000,0,29400
319,-4600,-2700,0,-2000,0,-9300
320,8400,-1300,0,-1000,0,6100
321,200,5400,0,-1000,0,4600
322,10800,-5300,0,-3000,0,2500
323,-1000,-3000,0,0,0,-4000
324,8400,-2900,0,-1000,0,4500
325,-5400,10900,0,10000,0,15500
326,-1300,-6100,-1200,1400,-1200,-8400
327,4300,13000,0,8600,-12600,13300
328,-2700,-2900,-1200,200,-950,-7550
329,9300,9800,-2300,-2400,0,14400
330,-2700,-2300,2800,-2800,11050,6050
331,5300,-600,-1800,-3900,1950,950
332,-6800,12200,4700,-10500,1950,1550
333,8000,-4400,-1200,-800,-950,650
334,-4400,9900,-1200,7300,1950,13550
335,2700,200,-3000,7500,-7300,100
336,-5000,-700,700,-4600,0,-9600
337,10700,-4300,700,-3600,12000,15500
338,-1900,9000,-900,-3000,0,3200
339,8700,900,4700,6600,-1200,19700
340,7600,-600,-2400,-2600,0,2000
341,-3600,-2200,-2400,22800,-11400,3200
342,100,5400,-1800,0,0,3700
343,7000,200,2900,-5600,12000,16500
344,5300,-700,4700,-6600,-950,1750
345,1300,-4500,0,-1600,-3350,-8150
346,8500,12000,0,-2900,2900,20500
347,-200,-3900,0,7300,750,3950
348,8500,1100,-1200,-800,-950,6650
349,-2800,9900,-900,-800,-2150,3250
350,10200,-2200,1000,6300,2900,18200
351,-3000,-2800,2800,-6700,1000,-8700
352,5200,300,0,12000,-950,16550
353,-5000,12000,-11400,6500,2900,5000
354,4500,200,0,-3900,1950,2750
355,-3600,-2900,10800,200,0,4500
356,5600,-1800,0,-4000,0,-200
357,-4600,-1400,-2300,-200,-1200,-9700
358,9800,-5400,1900,-3600,-1200,1500
359,-5500,-1900,1000,9600,-2400,800
360,8600,9000,-7400,5400,0,15600
361,10800,-4600,-1200,-800,-950,3250
362,-3300,11300,0,-1000,-950,6050
363,8700,-800,12000,-2900,1950,18950
364,-1200,-4400,0,8100,1950,4450
365,7500,10700,0,-2000,-950,15250
366,-3600,-2900,0,-3900,2900,-7500
367,11600,-4400,0,-6700,750,1250
368,-5900,11300,0,-1000,0,4400
369,-5000,200,-1200,-600,-1200,-7800
370,12300,-4400,-2100,11400,-1200,16000
371,-2800,9000,1000,9400,-1200,15400
372,10100,-2300,2800,-3600,-2150,4850
373,5000,-2000,0,-2800,-2150,-1950
374,-5300,10000,0,-3900,1950,2750
375,-5300,-3000,0,-3900,1950,-10250
376,10100,-2200,0,10200,-3100,15000
377,-3300,12000,0,-3900,2900,7700
378,8200,-3000,0,-5900,1950,1250
379,-4400,-2200,-1200,9300,1950,3450
380,10200,9800,-2700,-800,-2150,14350
381,-4300,-1400,5600,-10300,1700,-8700
382,9800,-3400,0,12000,-950,17450
383,-5500,-2000,0,-2000,0,-9500
384,10800,7600,0,6300,-8250,16450
385,8400,-2900,0,10000,0,15500
386,-4200,200,-1200,-3300,11550,3050
387,9300,9000,0,-2800,-1200,14300
388,-100,-2300,-1200,1200,-950,-3350
389,8900,-4300,100,-4800,-950,-1050
390,1300,6600,2800,6500,1700,18900
391,12600,-2200,0,-4900,1000,6500
392,-2600,11400,-1200,200,-950,6850
393,7600,-2100,0,-4900,2900,3500
394,-1900,-2300,0,9300,750,5850
395,-3300,10500,-1200,600,-2400,4200
396,3200,1400,0,0,-950,3650
397,2800,5200,-1800,11000,0,17200
398,8400,-2200,4700,-9500,1000,2400
399,-1900,-3000,-1200,12200,-950,5150
400,6100,300,0,-4900,2900,4400
401,-4500,9000,0,-3900,1950,2550
402,-2800,-2100,-1200,12400,-2150,4150
403,-3600,-2200,-1200,-4500,1700,-9800
404,9300,-2100,-900,-1000,0,5300
405,1800,4400,3800,4400,-950,13450
406,8500,-2200,-1200,200,0,5300
407,9800,6900,-1800,-1000,-950,12950
408,-4600,-4400,4700,2500,2900,1100
409,-100,-3100,0,-4500,-450,-8150
410,8400,11300,-10200,9200,0,18700
411,-1200,-4400,0,-2000,0,-7600
412,9300,9800,12000,0,-950,30150
413,-3400,100,0,7100,1950,5750
414,-7700,11500,0,0,-950,2850
415,11600,-4500,0,5300,-7300,5100
416,-3300,12000,0,-1000,0,7700
417,9500,0,-10200,8200,12000,19500
418,-4500,100,0,0,0,-4400
419,11500,-4500,12000,-1000,0,18000
420,-3500,-2900,-1200,200,0,-7400
421,9800,-4200,0,-800,-1200,3600
422,-7600,-500,0,-2000,0,-10100
423,-4400,9900,0,0,0,5500
424,-400,-4600,0,200,-1200,-6000
425,9300,9000,-1200,200,0,17300
426,-4300,100,-900,-2000,0,-7100
427,8900,-5300,1000,-3800,-950,-150
428,-7700,12300,2800,-3800,-950,2650
429,8700,100,0,-5700,1700,4800
430,-3800,7600,-1200,-2700,1950,1850
431,13100,-7500,0,11000,0,16600
432,-4000,-4200,0,-1000,0,-9200
433,8300,-3600,0,-3000,0,1700
434,-2500,6200,-1200,13200,0,15700
435,10000,-5200,100,-5800,0,-900
436,-1700,8100,1600,-3600,0,4400
437,8800,-3400,-1200,1400,-1200,4400
438,500,-5400,0,19200,-10200,4100
439,13700,2100,-1100,-2600,-950,11150
440,3600,-6800,2800,-4800,0,-5200
441,9200,9100,-1200,-2700,13950,28350
442,-5100,-500,-1800,0,-950,-8350
443,-3700,9900,4700,2700,1700,15300
444,-5800,-700,-1200,200,0,-7500
445,-4500,-2200,0,10200,-10200,-6700
446,8400,9900,0,0,0,18300
447,-2000,-4400,0,0,12000,5600
448,7700,10600,0,0,0,18300
449,-2700,-1300,0,0,0,-4000
450,6500,-2100,0,0,0,4400
451,-4300,9000,0,200,-1200,3700
452,7300,-1800,0,-1000,0,4500
453,7400,9100,0,1200,-1200,16500
454,-6700,200,0,0,-950,-7450
455,6900,12000,0,-1000,-950,16950
456,-3600,-2100,0,-2700,1700,-6700
457,11700,7400,-1200,-3500,750,15150
458,-8400,400,-1800,-1000,-950,-11750
459,10900,8900,4700,-6400,-1200,16900
460,-2600,-3100,0,9300,750,4350
461,8400,9000,-1200,-800,-950,14450
462,-3500,-1400,0,-3900,1950,-6850
463,8400,11400,0,9100,1950,30850
464,-1000,-1400,-10200,8200,-950,-5350
465,7000,100,0,-3700,1700,5100
466,-2000,-2900,0,1400,-2400,-5900
467,7800,200,12000,-800,-1200,18000
468,-5100,12200,0,-1000,-950,5150
469,9500,100,-1200,10300,1950,20650
470,6400,-2000,-1800,0,-1900,700
471,-2900,-4600,4700,-8300,1700,-9400
472,-1800,-3100,0,-3700,750,-7850
473,8400,-2100,-11400,10400,-950,4350
474,6600,-2700,-1200,-4700,1950,-50
475,-1300,7700,-2100,200,-950,3550
476,12200,-7600,15800,-10500,2900,12800
477,500,6600,-1200,-3700,1950,4150
478,6800,200,-3300,11400,0,15100
479,-1200,-4500,-800,-3800,0,-10300
480,6800,12200,6300,-10200,0,15100
481,-3300,11300,-1200,21400,-10200,18000
482,9300,-2200,-1800,-1000,0,4300
483,-2600,100,4700,-8600,0,-6400
484,9100,9900,-1200,200,12000,30000
485,-4600,-2700,0,11000,0,3700
486,15600,-6800,0,-1000,0,7800
487,600,-5400,-1200,13200,0,7200
488,-4200,12100,-3000,200,0,5100
489,-3700,-2800,4700,-5600,0,-7400
490,-1200,6600,0,-2000,0,3400
491,-6000,200,-10200,9400,-1200,-7800
492,6800,5600,0,0,0,12400
493,-1800,-2200,0,-2000,-950,-6950
494,-5000,-600,12000,-1000,0,5400
495,5300,12100,0,-3900,1950,15450
496,-4800,0,0,-2000,-950,-7750
497,9500,12000,0,-4900,2900,19500
498,-1800,200,-10200,9200,0,-2600
499,8600,-700,12000,-1000,0,18900
500,-4300,1100,0,-2000,0,-5200
501,4300,400,0,11200,-1200,14700
502,-5900,100,-1200,-1800,0,-8800
503,7900,100,-2100,200,0,6100
504,-1100,-2200,1000,-3800,0,-6100
505,8400,-3000,2800,-4800,0,3400
506,-2300,-3500,0,0,0,-5800
507,8300,-5200,0,10000,0,13100
508,-5400,-1900,-2400,400,0,-9300
509,9600,11200,-3000,-1800,0,16000
510,11000,-2300,3800,-7600,0,4900
511,-3600,12200,700,-2400,-1200,5700
512,-1000,-3000,1900,-4800,0,-6900
513,7400,-2800,-1200,10200,-950,12650
514,11000,10600,-1800,-1000,-950,17850
515,-3300,0,4700,2500,2900,6800
516,11100,-700,0,-1000,-950,8450
517,-2900,-2100,-10200,17300,2900,5000
518,10800,7500,-1200,-800,0,16300
519,-4600,-2000,12000,-1000,0,4400
520,8500,-3000,0,-1000,0,4500
521,500,-4500,0,0,0,-4000
522,10900,8900,-1200,12200,0,30800
523,-3500,-600,-900,-1800,-1200,-8000
524,9800,8600,3800,-4400,-1200,16600
525,-5900,-500,0,-2000,0,-8400
526,-6200,-2100,-1200,-800,-950,-11250
527,-700,-7600,0,-1000,0,-9300
528,6600,9900,0,-3700,750,13550
529,-500,-5200,0,12200,-2150,4350
530,8400,-3000,0,-2700,1700,4400
531,-2800,9000,0,-1000,-950,4250
532,5700,-1000,-1200,200,-950,2750
533,-2700,9800,-900,9100,2900,18200
534,2800,-7700,3800,-8500,1950,-7650
535,7900,0,0,-2000,0,5900
536,-1100,6600,0,-2000,0,3500
537,4600,-4300,-1200,1200,0,300
538,-3000,6800,0,11000,0,14800
539,6700,-2000,0,0,0,4700
540,-3500,9000,0,-1000,0,4500
541,4500,100,0,-2000,0,2600
542,-2200,7600,0,0,0,5400
543,6700,-2900,-2400,12400,0,13800
544,-6900,12400,0,200,-1200,4500
545,7800,-2200,-1800,0,0,3800
546,-1300,-4500,1900,-3800,-950,-8650
547,11900,8100,700,-1600,0,19100
548,-3600,1100,1000,-7700,1950,-7250
549,7800,11300,1600,-1600,-950,18150
550,2700,-6800,0,-2900,2900,-4100
551,11200,12000,0,11000,0,34200
552,-4300,-600,0,-1000,0,-5900
553,10000,-2100,0,13200,-1200,19900
554,-2700,8900,0,0,0,6200
555,9500,100,0,0,0,9600
556,-6100,1100,0,0,0,-5000
557,10100,-2200,0,200,-1200,6900
558,2000,-7700,0,0,0,-5700
559,7400,-2900,0,-800,-1200,2500
560,-7200,-2000,0,-1000,-950,-11150
561,7000,12100,0,-800,-2150,16150
562,-2200,-4400,0,-3900,2900,-7600
563,-4000,-800,0,-3900,1000,-7700
564,10800,7500,0,0,-950,17350
565,-5100,200,0,-4700,1700,-7900
566,7600,8900,0,-4900,1950,13550
567,-4600,-2800,0,18200,-10200,600
568,5200,13000,-2400,400,0,16200
569,-5900,0,-1800,-2000,0,-9700
570,13100,-6800,4700,-7400,10800,14400
571,-1900,-3100,0,0,0,-5000
572,9500,100,0,11000,-950,19650
573,-1100,-3000,0,-2000,0,-6100
574,6000,12400,-1200,-3700,1950,15450
575,-2700,-2300,-1800,-3000,-950,-10750
576,9300,-2300,3500,1700,2900,15100
577,-4600,9100,-1200,200,0,3500
578,6000,200,100,-2800,0,3500
579,-2000,-4400,2800,18400,-10200,4600
580,9100,9800,0,-2000,0,16900
581,-300,-6100,0,-800,-1200,-8400
582,6600,-1200,0,-800,10800,15400
583,900,4500,0,12200,-1200,16400
584,7500,-2200,0,0,0,5300
585,12500,-5300,0,-1000,-950,5250
586,-2700,9800,0,0,-950,6150
587,-1000,-3000,0,-2900,2900,-4000
588,11900,8900,-1200,-3700,1950,17850
589,-1800,100,0,10400,-11400,-2700
590,-2700,100,-1200,200,0,-3600
591,11000,9000,0,-1000,11050,30050
592,-3600,-1300,-3000,400,-1200,-8700
593,-2700,9800,1900,-5500,750,4250
594,-1700,-700,2800,-3800,-950,-4350
595,-2300,-4200,0,-3900,2900,-7500
596,7000,12100,0,8200,-11150,16150
597,10300,-3100,-1200,-800,-950,4250
598,500,-2200,-1200,-3700,14900,8300
599,-1800,100,-3000,-2700,1950,-5450
600,9200,9900,2300,5800,0,27200
601,-5300,-2700,-3000,-800,0,-11800
602,200,-7500,3800,4600,-10200,-9100
603,-3600,-1300,3800,-6400,-1200,-8700
604,8500,9100,0,-2000,12000,27600
605,-1300,-4400,0,-1000,0,-6700
606,15800,-5400,0,10000,0,20400
607,-2700,10600,-1200,400,-1200,5900
608,7700,1000,0,12000,0,20700
609,-5200,10000,-1800,-2000,-950,50
610,500,-4600,4700,-4400,-2150,-5950
611,-2500,-800,0,-3900,2900,-4300
612,-3400,12100,0,-1000,-950,6750
613,7700,-600,0,-3900,2900,6100
614,-5100,12300,0,11200,-1200,17200
615,-5200,200,0,-1000,0,-6000
616,8200,-3600,0,12000,-950,15650
617,-4400,-2900,0,-1000,0,-8300
618,6700,-2100,-1200,-800,-950,1650
619,7900,0,0,-1700,1700,7900
620,-1100,9800,0,-3900,1950,6750
621,11500,-4400,0,0,0,7100
622,-2400,-800,0,11000,0,7800
623,9300,11300,0,0,0,20600
624,-2700,-1400,0,0,0,-4100
625,11400,-5300,0,0,0,6100
626,-2700,-2100,0,-800,-1200,-6800
627,11800,-2300,0,-2000,0,7500
628,-3300,11300,0,1200,-2150,7050
629,-3400,0,0,-1000,-950,-5350
630,-300,9800,0,-3900,2900,8500
631,8400,-2300,-10200,3500,750,150
632,-2500,-800,0,1200,-1200,-3300
633,12000,0,0,0,0,12000
634,-1800,0,12000,-1000,-950,8250
635,9500,12000,0,-1000,-950,19550
636,-2000,-2100,0,-2700,1700,-5100
637,-6000,300,0,-2900,1950,-6650
638,-4900,-800,0,-2000,-950,-8650
639,-1300,-3600,0,-2000,0,-6900
640,-3400,100,-10200,20500,750,7750
641,6900,-700,0,0,0,6200
642,-2800,-2200,0,-4700,750,-8950
643,6100,12100,9600,2400,0,30200
644,-1000,-2300,-900,0,-950,-5150
645,6800,200,3800,-5600,0,5200
646,8800,-4300,0,-3900,1950,2550
647,-2800,-2000,0,-1000,-950,-6750
648,8500,-2900,0,-2900,2900,5600
649,-4300,-3000,0,11000,0,3700
650,7500,9900,-10200,9600,-2400,14400
651,-3500,-2100,0,-800,-1200,-7600
652,13000,5200,12000,-1000,-950,28250
653,-3300,-700,0,-1000,0,-5000
654,11100,-800,0,-2900,1950,9350
655,-3500,300,0,0,-950,-4150
656,7500,10000,0,-3900,2900,16500
657,4200,-9100,0,200,-1200,-5900
658,-3600,9000,0,11000,0,16400
659,-1800,-2200,-1200,1200,-950,-4950
660,11200,11200,-1800,200,-1200,19600
661,-7000,400,3500,-8300,1950,-9450
662,-1900,9000,0,0,-950,6150
663,9900,-3500,0,-3900,2900,5400
664,-2100,-4400,-1200,-800,0,-8500
665,-2800,-3800,0,12000,0,5400
666,8900,-4400,-3000,-800,0,700
